iter	RMSE
0	16.19651392
1	15.91359464
2	15.64640101
3	15.37108964
4	15.12843069
5	14.86369224
6	14.63743479
7	14.40979179
8	14.16817693
9	13.97678206
10	13.80223398
11	13.60386636
12	13.43493715
13	13.27118545
14	13.13106403
15	12.94946537
16	12.82533163
17	12.66622216
18	12.53273866
19	12.38110103
20	12.2538806
21	12.14136252
22	12.03789078
23	11.94505154
24	11.83343658
25	11.72645147
26	11.5937594
27	11.52216682
28	11.41345144
29	11.30142561
30	11.22468788
31	11.13115501
32	11.01462402
33	10.9288502
34	10.85080008
35	10.74443551
36	10.65779452
37	10.58190881
38	10.47573706
39	10.3833828
40	10.32324187
41	10.25073055
42	10.19294485
43	10.13925346
44	10.07351634
45	10.0081891
46	9.94947373
47	9.89886733
48	9.825152653
49	9.750753149
50	9.703611825
51	9.637890494
52	9.582587231
53	9.540656351
54	9.468380565
55	9.426315579
56	9.377508442
57	9.318593468
58	9.256151693
59	9.222107312
60	9.188642928
61	9.146116986
62	9.10805839
63	9.080286945
64	9.045686905
65	8.999932919
66	8.96302645
67	8.92902263
68	8.871372544
69	8.838797092
70	8.810871904
71	8.763433811
72	8.729731146
73	8.685211319
74	8.641662018
75	8.599703914
76	8.563384578
77	8.529371492
78	8.502523632
79	8.464243928
80	8.445593814
81	8.407391092
82	8.376296901
83	8.334806101
84	8.312392868
85	8.277322759
86	8.2478246
87	8.229225457
88	8.208984847
89	8.185013202
90	8.14573983
91	8.128403363
92	8.100979669
93	8.077014177
94	8.03788203
95	8.018031133
96	7.995413618
97	7.960037373
98	7.938078507
99	7.914108701
100	7.893619317
101	7.878410566
102	7.849806916
103	7.809963989
104	7.76546259
105	7.739020089
106	7.720209016
107	7.691860279
108	7.663279947
109	7.6417149
110	7.618820363
111	7.588375589
112	7.569611642
113	7.548080487
114	7.530488309
115	7.51097555
116	7.502453935
117	7.478857405
118	7.466404688
119	7.437195369
120	7.418344818
121	7.390294414
122	7.371153273
123	7.360802493
124	7.347061057
125	7.321583257
126	7.303842887
127	7.284210827
128	7.257892765
129	7.237270459
130	7.224043085
131	7.210179507
132	7.195064396
133	7.17722919
134	7.162659183
135	7.139395923
136	7.121949773
137	7.101842301
138	7.0876821
139	7.070258746
140	7.061074375
141	7.042971889
142	7.023379546
143	7.010854431
144	6.983709073
145	6.966266801
146	6.948076385
147	6.934695306
148	6.922592006
149	6.915361496
150	6.902433273
151	6.890026069
152	6.872247335
153	6.859770039
154	6.848961121
155	6.834602641
156	6.820095224
157	6.80629571
158	6.7920009
159	6.782267403
160	6.764542395
161	6.74970246
162	6.731652544
163	6.711738326
164	6.695795597
165	6.688898392
166	6.670846886
167	6.664056624
168	6.642317475
169	6.631248229
170	6.619784938
171	6.604671555
172	6.589330144
173	6.579118432
174	6.563134183
175	6.54976781
176	6.540845598
177	6.532979646
178	6.52122252
179	6.509735835
180	6.496143479
181	6.486175515
182	6.475438381
183	6.463343113
184	6.452921892
185	6.445244423
186	6.427008483
187	6.413599206
188	6.398317459
189	6.388650273
190	6.373246654
191	6.363577248
192	6.354232826
193	6.346447911
194	6.332140122
195	6.325366727
196	6.31416066
197	6.305122434
198	6.293138905
199	6.286262384
200	6.27776488
201	6.260735504
202	6.250315094
203	6.237748421
204	6.230301507
205	6.211527057
206	6.200684344
207	6.185645296
208	6.180384151
209	6.164664389
210	6.150307331
211	6.14014147
212	6.130274251
213	6.117782918
214	6.113546777
215	6.104984339
216	6.096961185
217	6.08501704
218	6.076536296
219	6.062946055
220	6.051261799
221	6.036573883
222	6.028424788
223	6.020824864
224	6.013690612
225	6.007226974
226	5.999684387
227	5.986441433
228	5.981057754
229	5.972538037
230	5.965316796
231	5.95576004
232	5.947425125
233	5.933079484
234	5.927622728
235	5.915823618
236	5.898066724
237	5.891835631
238	5.884409078
239	5.876919875
240	5.867162014
241	5.852229446
242	5.839711522
243	5.829826461
244	5.822765145
245	5.811333156
246	5.802159433
247	5.795124231
248	5.783810343
249	5.776381396
250	5.765750353
251	5.753336031
252	5.748804293
253	5.736414491
254	5.732754936
255	5.727373258
256	5.720164924
257	5.712547613
258	5.708368242
259	5.700164535
260	5.694772231
261	5.682630122
262	5.67302326
263	5.665197468
264	5.660717901
265	5.650561991
266	5.643147729
267	5.636587049
268	5.623001848
269	5.616085938
270	5.607871558
271	5.604391114
272	5.59910527
273	5.590347213
274	5.583748919
275	5.576175733
276	5.570032999
277	5.562974806
278	5.556975642
279	5.549265364
280	5.543325347
281	5.533519036
282	5.524711396
283	5.512281137
284	5.503313441
285	5.49671048
286	5.487984069
287	5.48168356
288	5.473877732
289	5.466300214
290	5.456477002
291	5.45017135
292	5.442452845
293	5.434905943
294	5.426326314
295	5.421488217
296	5.412638085
297	5.405766865
298	5.399088806
299	5.390303599
300	5.382106646
301	5.375282408
302	5.370587397
303	5.365319545
304	5.360832849
305	5.35123426
306	5.346921283
307	5.340310221
308	5.336542949
309	5.329933382
310	5.321379499
311	5.316132817
312	5.31337254
313	5.30828017
314	5.300298606
315	5.295710755
316	5.287182954
317	5.283715487
318	5.275137676
319	5.270556009
320	5.262862313
321	5.258394944
322	5.25080622
323	5.242160458
324	5.235155848
325	5.231783991
326	5.227402188
327	5.222513956
328	5.217431441
329	5.21312194
330	5.206569024
331	5.199921087
332	5.19347105
333	5.189472357
334	5.181882194
335	5.176296852
336	5.168379525
337	5.164827789
338	5.157554957
339	5.151145857
340	5.148276814
341	5.143272132
342	5.140703589
343	5.135425667
344	5.128416267
345	5.124117142
346	5.116849789
347	5.109572487
348	5.102752593
349	5.099566357
350	5.095894449
351	5.092554955
352	5.085253946
353	5.078970632
354	5.071074879
355	5.06615666
356	5.061111877
357	5.055464426
358	5.047279921
359	5.042302877
360	5.035799451
361	5.031307476
362	5.027755569
363	5.023539082
364	5.017818989
365	5.013332356
366	5.007974411
367	5.004039666
368	4.994891785
369	4.988798907
370	4.986031776
371	4.980295605
372	4.976475374
373	4.969913664
374	4.965835146
375	4.961290495
376	4.958636337
377	4.953764364
378	4.948886895
379	4.940989964
380	4.937060522
381	4.932743328
382	4.929527504
383	4.925622232
384	4.920764424
385	4.914757201
386	4.910016499
387	4.906966794
388	4.902069962
389	4.897154439
390	4.89376481
391	4.890396346
392	4.886682751
393	4.882342012
394	4.879456508
395	4.874355912
396	4.871413294
397	4.86848804
398	4.862055331
399	4.858493087
400	4.852089397
401	4.846960385
402	4.839414349
403	4.834590668
404	4.830167436
405	4.826704818
406	4.822834647
407	4.820865601
408	4.817772301
409	4.811259307
410	4.803404264
411	4.79966953
412	4.796046073
413	4.788199583
414	4.782489836
415	4.779431711
416	4.773542949
417	4.770112902
418	4.765715745
419	4.759233628
420	4.756715695
421	4.75405617
422	4.749928004
423	4.746006402
424	4.742054436
425	4.737293486
426	4.73211211
427	4.726964197
428	4.723863303
429	4.720474005
430	4.71784315
431	4.714113914
432	4.711689378
433	4.706965638
434	4.703218376
435	4.698999845
436	4.692818017
437	4.689771464
438	4.685972924
439	4.681618977
440	4.674628442
441	4.671086854
442	4.667670587
443	4.666323783
444	4.663777881
445	4.655198809
446	4.650506789
447	4.647885446
448	4.644495111
449	4.641943367
450	4.639291272
451	4.633795055
452	4.63135947
453	4.627533566
454	4.624028493
455	4.619359365
456	4.61490084
457	4.611557532
458	4.605862035
459	4.602064186
460	4.59843882
461	4.595317696
462	4.590956214
463	4.586321213
464	4.583851232
465	4.580356219
466	4.576782889
467	4.574001734
468	4.571010544
469	4.565073495
470	4.562136946
471	4.557891783
472	4.555631137
473	4.552395589
474	4.548665273
475	4.545514692
476	4.542445032
477	4.541010092
478	4.537477107
479	4.530691821
480	4.526214124
481	4.521424948
482	4.518798332
483	4.515311909
484	4.512369875
485	4.505977434
486	4.503241703
487	4.498498489
488	4.495668617
489	4.494341929
490	4.491257012
491	4.486962139
492	4.485200671
493	4.482995753
494	4.480617907
495	4.477075744
496	4.475226624
497	4.473175523
498	4.470562569
499	4.467187338
500	4.463438153
501	4.459228097
502	4.454454036
503	4.451248264
504	4.447088464
505	4.442909465
506	4.439652703
507	4.435455941
508	4.433845006
509	4.429484452
510	4.42546445
511	4.422782124
512	4.421447234
513	4.416971517
514	4.413662739
515	4.409503758
516	4.406078424
517	4.402965519
518	4.399997265
519	4.396852025
520	4.394537862
521	4.391680374
522	4.388333073
523	4.38474776
524	4.382394835
525	4.377491355
526	4.37530613
527	4.373903206
528	4.370536286
529	4.366298119
530	4.364385673
531	4.361754821
532	4.357726281
533	4.354086945
534	4.3523196
535	4.349313525
536	4.346715056
537	4.344068821
538	4.342702166
539	4.34101808
540	4.335517694
541	4.332349511
542	4.324630045
543	4.321280776
544	4.317580306
545	4.314174391
546	4.311299147
547	4.307893176
548	4.302782334
549	4.298828577
550	4.295560565
551	4.292077847
552	4.288573085
553	4.285114181
554	4.281651815
555	4.279000383
556	4.27690342
557	4.271659944
558	4.26961817
559	4.266704499
560	4.264087042
561	4.26033789
562	4.255922478
563	4.253792801
564	4.249180963
565	4.244614574
566	4.242904805
567	4.23923724
568	4.235842462
569	4.233335806
570	4.230331198
571	4.228281913
572	4.224446157
573	4.221163718
574	4.218592915
575	4.215748906
576	4.212921348
577	4.207838792
578	4.203553431
579	4.199720662
580	4.197055528
581	4.195354139
582	4.192562261
583	4.190166281
584	4.187411487
585	4.18489019
586	4.182206438
587	4.174248804
588	4.17233496
589	4.167468906
590	4.1623034
591	4.159823954
592	4.157609872
593	4.154706147
594	4.153478245
595	4.151256149
596	4.147831424
597	4.143090527
598	4.140359681
599	4.137898301
600	4.136117428
601	4.129531562
602	4.127227018
603	4.124977397
604	4.120130559
605	4.117739728
606	4.113781852
607	4.111726817
608	4.106672026
609	4.103949463
610	4.099525347
611	4.095558211
612	4.093099334
613	4.089690819
614	4.087517399
615	4.084298764
616	4.080833366
617	4.078371875
618	4.072257162
619	4.069306744
620	4.066560596
621	4.064028308
622	4.061539133
623	4.059084146
624	4.056038401
625	4.052474504
626	4.049000404
627	4.047014827
628	4.044081327
629	4.039823748
630	4.036692931
631	4.034250189
632	4.032805841
633	4.029426842
634	4.027086808
635	4.023824201
636	4.021271391
637	4.016834178
638	4.014849564
639	4.012305929
640	4.007961572
641	4.004555361
642	4.002219751
643	3.999775694
644	3.996800476
645	3.99420214
646	3.991527694
647	3.989437886
648	3.986446435
649	3.984002911
650	3.981634612
651	3.977061375
652	3.973572649
653	3.971106586
654	3.96884796
655	3.966058062
656	3.963123588
657	3.960255242
658	3.95757034
659	3.955662348
660	3.953792367
661	3.951035326
662	3.948285272
663	3.947044172
664	3.94429829
665	3.940269275
666	3.935950774
667	3.934038256
668	3.930583153
669	3.928726088
670	3.927179182
671	3.925258359
672	3.922700479
673	3.919507349
674	3.914717889
675	3.913085163
676	3.908758778
677	3.905761168
678	3.903919901
679	3.901633245
680	3.893865602
681	3.889848379
682	3.884735305
683	3.880940703
684	3.877172207
685	3.874953369
686	3.873387715
687	3.870594752
688	3.867192231
689	3.864265691
690	3.862237006
691	3.860272268
692	3.858131932
693	3.85555718
694	3.853634294
695	3.850412156
696	3.84715936
697	3.844720999
698	3.842074752
699	3.840077002
700	3.837615612
701	3.834999324
702	3.832481894
703	3.831346025
704	3.829447489
705	3.826473971
706	3.823013229
707	3.821058619
708	3.817534097
709	3.81656482
710	3.814440435
711	3.811074058
712	3.809433443
713	3.808040892
714	3.806460534
715	3.803905065
716	3.801659379
717	3.798633727
718	3.79685468
719	3.793400397
720	3.790538041
721	3.785145628
722	3.783329677
723	3.780886823
724	3.778456185
725	3.776436668
726	3.770298102
727	3.76908259
728	3.767088597
729	3.765667378
730	3.763804926
731	3.761497103
732	3.758554497
733	3.755685929
734	3.753859596
735	3.752199816
736	3.748698524
737	3.747176519
738	3.744622287
739	3.74110001
740	3.738491613
741	3.734844194
742	3.732905233
743	3.730161428
744	3.728623602
745	3.726995768
746	3.725805013
747	3.723925123
748	3.721673622
749	3.720003562
750	3.715816286
751	3.712899871
752	3.708027566
753	3.70669692
754	3.704998218
755	3.702098782
756	3.699347109
757	3.69614772
758	3.693519136
759	3.69221211
760	3.689710777
761	3.687178264
762	3.685301468
763	3.684209618
764	3.680223745
765	3.677905046
766	3.674792638
767	3.673171203
768	3.670882032
769	3.669363015
770	3.667730616
771	3.664675437
772	3.662604716
773	3.660182196
774	3.658246871
775	3.656736504
776	3.655152054
777	3.651903558
778	3.649431257
779	3.647150637
780	3.645480949
781	3.643570839
782	3.642192927
783	3.640190223
784	3.638486005
785	3.636494585
786	3.634691439
787	3.630986549
788	3.62821997
