iter	Passed	Remaining
0	57	57702
1	101	50893
2	149	49582
3	177	44266
4	210	41795
5	243	40257
6	271	38452
7	301	37362
8	334	36857
9	364	36126
10	395	35548
11	435	35890
12	477	36220
13	526	37094
14	568	37353
15	602	37048
16	635	36731
17	668	36492
18	696	35941
19	728	35698
20	763	35588
21	792	35223
22	825	35078
23	859	34952
24	893	34851
25	924	34638
26	962	34678
27	996	34609
28	1035	34676
29	1091	35299
30	1124	35152
31	1168	35349
32	1208	35404
33	1242	35301
34	1271	35069
35	1305	34961
36	1333	34708
37	1363	34529
38	1398	34460
39	1428	34289
40	1467	34333
41	1506	34351
42	1543	34349
43	1574	34208
44	1613	34248
45	1654	34319
46	1684	34160
47	1724	34197
48	1756	34090
49	1791	34030
50	1822	33903
51	1854	33801
52	1893	33824
53	1934	33888
54	1969	33833
55	2003	33779
56	2043	33809
57	2078	33765
58	2113	33711
59	2152	33718
60	2203	33925
61	2237	33858
62	2284	33982
63	2321	33946
64	2353	33853
65	2387	33787
66	2420	33706
67	2463	33766
68	2499	33731
69	2541	33761
70	2571	33645
71	2600	33518
72	2633	33444
73	2664	33339
74	2695	33241
75	2756	33512
76	2817	33774
77	2874	33972
78	2908	33903
79	2944	33859
80	2977	33780
81	3014	33744
82	3055	33762
83	3097	33775
84	3133	33726
85	3165	33641
86	3197	33556
87	3229	33471
88	3265	33422
89	3306	33429
90	3337	33339
91	3366	33226
92	3403	33194
93	3441	33165
94	3474	33103
95	3514	33098
96	3543	32991
97	3581	32961
98	3624	32983
99	3672	33055
100	3719	33105
101	3749	33006
102	3789	33001
103	3835	33043
104	3870	32988
105	3897	32873
106	3930	32801
107	3958	32696
108	3990	32617
109	4021	32537
110	4053	32466
111	4091	32443
112	4129	32411
113	4160	32338
114	4195	32284
115	4228	32220
116	4257	32130
117	4291	32073
118	4318	31973
119	4357	31952
120	4399	31957
121	4435	31922
122	4561	32523
123	4617	32622
124	4652	32567
125	4688	32524
126	4716	32419
127	4751	32371
128	4782	32291
129	4809	32188
130	4841	32114
131	4875	32063
132	4905	31974
133	4947	31975
134	4981	31919
135	5009	31826
136	5043	31772
137	5079	31730
138	5108	31642
139	5139	31573
140	5169	31492
141	5201	31427
142	5235	31376
143	5272	31344
144	5311	31322
145	5351	31304
146	5379	31216
147	5412	31158
148	5441	31079
149	5481	31059
150	5521	31046
151	5555	30992
152	5587	30933
153	5618	30864
154	5648	30794
155	5697	30824
156	5725	30741
157	5754	30665
158	5791	30630
159	5818	30545
160	5845	30463
161	5892	30480
162	5925	30426
163	5953	30347
164	5992	30324
165	6025	30274
166	6065	30255
167	6102	30223
168	6133	30158
169	6160	30077
170	6197	30046
171	6234	30011
172	6266	29957
173	6301	29916
174	6331	29848
175	6359	29772
176	6392	29724
177	6426	29676
178	6459	29628
179	6506	29642
180	6539	29589
181	6569	29525
182	6609	29507
183	6644	29464
184	6684	29447
185	6714	29386
186	6744	29320
187	6777	29272
188	6815	29243
189	6844	29177
190	6872	29108
191	6905	29061
192	6935	28999
193	6962	28926
194	6997	28886
195	7036	28864
196	7064	28794
197	7097	28747
198	7131	28705
